,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,mayabeano,https://www.instagram.com/p/CWL5mAnIt1e/,“Alien worlds”,collection,71,,0
1,mayabeano,https://www.instagram.com/p/CWGzKkSokAI/,"“After receiving many messages about digital art, I've been researching NFTs for about a year now. I don't know what the future holds for…”",image,42,,0
2,mayabeano,https://www.instagram.com/p/CV3ei4solTY/,,image,24,,0
3,mayabeano,https://www.instagram.com/p/CV27rUzMkTn/,“Yellow 🌻”,collection,141,,0
4,mayabeano,https://www.instagram.com/p/CVvCi-wI5zl/,“Quite often I get messages asking if I think that an aspiring photographer should study photography at college or university and if I have…”,image,39,,0
5,mayabeano,https://www.instagram.com/p/CVsoMKQoZ3D/,“Happy Halloween 🦇”,image,40,,0
6,mayabeano,https://www.instagram.com/p/CVnXsiJs5np/,,image,13,,0
7,mayabeano,https://www.instagram.com/p/CVgWJenoSnS/,“An extensive collection of animals having a good time 🐑”,collection,101,,0
8,mayabeano,https://www.instagram.com/p/CVgRfn6IU5x/,,image,15,,0
9,mayabeano,https://www.instagram.com/p/CVX9wluokL5/,,image,27,,0
10,mayabeano,https://www.instagram.com/p/CVVSq_YobPj/,,collection,125,,0
11,mayabeano,https://www.instagram.com/p/CVVDDkZIY1H/,"“Mars and Venus lining up nicely below the moon at sunset on 12 July 2021, taken in the Dead Sea area in Jordan (also known as planetary…”",collection,12,,0
